,GSM3304988,GSM3304990,GSM3305006,GSM3305012,GSM3305060,GSM3305062,GSM3305064,GSM3305069,GSM3305076,GSM3305078,GSM3305083,GSM3305085,GSM3305086,HP.7,HP.8,HP.9,HP.10,AP.1,AP.2,AP.3,AP.4,AP.5,AP.6
GSM3304988,1.0,0.9000505639818276,0.9063216366516221,0.9361478654101404,0.8758366197360725,0.9250516791737808,0.8968194704918608,0.9175919792278765,0.9280767130701165,0.8866161677213376,0.9035041474621273,0.8440388502910646,0.9098005649321771,0.9269785236866006,0.9270282275178962,0.9036126189439339,0.9413324520427432,0.9215851271601513,0.9325930393511377,0.9141941912404613,0.9131939506672532,0.8585889524498838,0.9040443319980022
GSM3304990,0.9000505639818276,1.0,0.9051670482585424,0.9164458284897831,0.8757779192916862,0.9288306828884387,0.9283035526017627,0.8603453117324358,0.9298229565597504,0.9299224771823937,0.900738601162391,0.7847516309120669,0.8895566327426093,0.9037259822651056,0.9025207319472333,0.8928936542971093,0.9178789413672451,0.916609316841654,0.9203508195271297,0.9258731017950199,0.9235193375976221,0.8937925049127572,0.8833479731407408
GSM3305006,0.9063216366516221,0.9051670482585424,1.0,0.9276867006124722,0.9217914405345634,0.939538369891943,0.9203185823347796,0.8929675607079834,0.9380218510815026,0.9125050959484181,0.947188148498129,0.8701421297045044,0.9233002745735277,0.9220292728370822,0.9233108929922516,0.9055679130125854,0.945462217653216,0.935334107099695,0.9281169764310133,0.9319009260441264,0.9262725772133323,0.8665753998110712,0.8943965208716864
GSM3305012,0.9361478654101404,0.9164458284897831,0.9276867006124722,1.0,0.8915437207867354,0.9342573749266518,0.9178814270662865,0.922956128056173,0.9331163026791875,0.9062536681636764,0.9134167302980891,0.8713127596579443,0.9297695632842796,0.9303602246760678,0.9330776678116993,0.9143934551193595,0.9546698823295623,0.9341401448425112,0.9361782806610276,0.9222225148705199,0.9230979254851743,0.8713219891852264,0.9092168663004824
GSM3305060,0.8758366197360725,0.8757779192916862,0.9217914405345634,0.8915437207867354,1.0,0.9302680802320128,0.8970947700240212,0.869566129700522,0.9115910882818031,0.8813054815169044,0.9378971613007661,0.841703012979159,0.8998594331575986,0.9022569629200377,0.9002519696636803,0.8564658879077032,0.9223261418232505,0.9215505997258282,0.9231889219719525,0.9272275962800302,0.8940389558461302,0.7696370157526596,0.876297200064866
GSM3305062,0.9250516791737808,0.9288306828884387,0.939538369891943,0.9342573749266518,0.9302680802320128,1.0,0.9267625713342252,0.9034915394535686,0.9449640028172145,0.9161652212305881,0.9452030644994215,0.845396443044935,0.9208197058178442,0.9352697988922983,0.9368325530345518,0.9067646135644596,0.9470874981896842,0.9436197308641828,0.9494700087347426,0.9476597326068164,0.9350250382506587,0.8656518171091614,0.9080758944965143
GSM3305064,0.8968194704918608,0.9283035526017627,0.9203185823347796,0.9178814270662865,0.8970947700240212,0.9267625713342252,1.0,0.8756926664889051,0.9333739745265938,0.9403152662373055,0.9162827441704752,0.8079116213193019,0.9179187588150791,0.9030063204809913,0.9005283490867165,0.8864356233938884,0.9284512932937407,0.9346307043853485,0.9273466095444849,0.9373318578088662,0.9303963060870141,0.8778868771559301,0.8938053367873892
GSM3305069,0.9175919792278765,0.8603453117324358,0.8929675607079834,0.922956128056173,0.869566129700522,0.9034915394535686,0.8756926664889051,1.0,0.9160584341825546,0.8546221422735298,0.8946403398909444,0.8742356974218776,0.909360247462629,0.906716291801338,0.9051594447237683,0.8881437416171781,0.9305835206082942,0.9107107312567456,0.9080710729344998,0.8891397070412226,0.8975555089856325,0.8195179195426459,0.9063194190003905
GSM3305076,0.9280767130701165,0.9298229565597504,0.9380218510815026,0.9331163026791875,0.9115910882818031,0.9449640028172145,0.9333739745265938,0.9160584341825546,1.0,0.9257791114568671,0.9411871422913547,0.840399892105697,0.9239309407057027,0.9307076628703722,0.9256281579937953,0.9150493444564824,0.9513561274370396,0.9463799665192254,0.9427983120284921,0.9395465324562808,0.9470975538266165,0.8837011935235175,0.9240743710399931
GSM3305078,0.8866161677213376,0.9299224771823937,0.9125050959484181,0.9062536681636764,0.8813054815169044,0.9161652212305881,0.9403152662373055,0.8546221422735298,0.9257791114568671,1.0,0.9023983078945447,0.7745799771457049,0.8917098241691909,0.8982798614172057,0.8932340307675288,0.8875508665966129,0.9222127579662712,0.9152819988087455,0.9172584868742156,0.9225955633812768,0.9135182523799613,0.8811894190888326,0.8715665618641595
