,GSM3304988,GSM3304990,GSM3305006,GSM3305012,GSM3305060,GSM3305062,GSM3305064,GSM3305069,GSM3305076,GSM3305078,GSM3305083,GSM3305085,GSM3305086,HP.7,HP.8,HP.9,HP.10,AP.1,AP.2,AP.3,AP.4,AP.5,AP.6
GSM3304988,1.0,0.8907581840816304,0.8993799909829436,0.9346727767455754,0.8706810362887648,0.9186628803605287,0.8892974544661234,0.9124344496637274,0.9254083284162091,0.8787915193427372,0.895688170600149,0.8345294189629046,0.905552808539607,0.9258759627254489,0.9246724793349379,0.904667609485052,0.9422161539760803,0.9193311281016517,0.9298018076566475,0.9084309306473463,0.9102398724660501,0.8602971873097333,0.8977684417198577
GSM3304990,0.8907581840816304,1.0,0.8995601615719876,0.9072297174899103,0.8766928932823235,0.9271363879180807,0.9247183307931091,0.8464845400732233,0.926956124034964,0.9273243860211886,0.8953616458509707,0.7668774506900868,0.8807361256407719,0.8959694333732008,0.8931749841771955,0.8866091422637492,0.9114358216423646,0.915577022561663,0.9152719979329326,0.9252914397555493,0.9224345779678147,0.8962954652584504,0.8718584387403407
GSM3305006,0.8993799909829436,0.8995601615719876,1.0,0.9226855390623429,0.9245822569595298,0.9390423567457573,0.9180553904781957,0.8838032185649091,0.9354857097011247,0.9070081188716079,0.946644380294665,0.8604579689763735,0.9232817596269586,0.9178112345501835,0.9168627079803681,0.9023399312692048,0.9431160101998051,0.9377702096299482,0.9247732999026615,0.9344385660065857,0.9270636620796221,0.8673783292996843,0.8840560337852662
GSM3305012,0.9346727767455754,0.9072297174899103,0.9226855390623429,1.0,0.8902428365408828,0.9327745228091867,0.9099112958712181,0.9203524120552052,0.9313566995993793,0.8967999708197962,0.9104736377777457,0.8629891793989658,0.9275857746664589,0.9289624150310756,0.9310222220108784,0.9143344171388008,0.9534380068540157,0.9348829680983728,0.9345526288772431,0.9196896990169776,0.9228327141175541,0.8742453900554908,0.9047073741233986
GSM3305060,0.8706810362887648,0.8766928932823235,0.9245822569595298,0.8902428365408828,1.0,0.9307719756739584,0.9008241830921024,0.8620462694901379,0.9131491063249239,0.8833167735511109,0.9409403732725843,0.8379002092342062,0.9039920635588776,0.9025160282986741,0.8972389627553914,0.8649725327640404,0.9216520942241891,0.9257907167406977,0.9211977795653837,0.9310133569702059,0.9002101448504286,0.7877839390807817,0.8713022510290094
GSM3305062,0.9186628803605287,0.9271363879180807,0.9390423567457573,0.9327745228091867,0.9307719756739584,1.0,0.9273003251286313,0.894112571989365,0.944391939021998,0.9168119019255566,0.9432801396526874,0.8332536098835658,0.9202502921510682,0.9340813911175707,0.9338912147668256,0.9100653195429369,0.9494079651654,0.9448115104567802,0.9475456581100152,0.9478802669043495,0.9361093810582883,0.8737154807765309,0.9000680279617513
GSM3305064,0.8892974544661234,0.9247183307931091,0.9180553904781957,0.9099112958712181,0.9008241830921024,0.9273003251286313,1.0,0.86361412108723,0.9316909622791085,0.9392720197299972,0.9147536576380386,0.7922976171545318,0.9116121023445397,0.8989008297371264,0.8949068544901536,0.8843853921707346,0.923487046044982,0.9358869132689812,0.924702475024805,0.9388186401819347,0.9295830958538029,0.8798442145315587,0.8833192894320739
GSM3305069,0.9124344496637274,0.8464845400732233,0.8838032185649091,0.9203524120552052,0.8620462694901379,0.894112571989365,0.86361412108723,1.0,0.9082757729413364,0.8411811521561492,0.8847460882594419,0.8657512834637267,0.9033796554455983,0.9046309625285505,0.9012763661061336,0.8899998354969733,0.9283018076140093,0.9033988082449886,0.9020718423580337,0.8781968669368558,0.8872132487947876,0.8172984127311124,0.8979968349527719
GSM3305076,0.9254083284162091,0.926956124034964,0.9354857097011247,0.9313566995993793,0.9131491063249239,0.944391939021998,0.9316909622791085,0.9082757729413364,1.0,0.9222733128296,0.9367580808640632,0.8293997700698179,0.9214780719994619,0.9295545314902589,0.9237312538877002,0.9174420139861345,0.9528611449641161,0.9471608104188176,0.9418838218089108,0.939233427484957,0.9457982340638964,0.8851476501392642,0.9170336514675624
GSM3305078,0.8787915193427372,0.9273243860211886,0.9070081188716079,0.8967999708197962,0.8833167735511109,0.9168119019255566,0.9392720197299972,0.8411811521561492,0.9222733128296,1.0,0.9003664911061403,0.7563074944804652,0.8864501152666856,0.8902700527123105,0.8831362520049607,0.8809520015765732,0.9147223309118724,0.9165017220593998,0.9127819454969894,0.9259613998978938,0.9137093225279901,0.8869480001238195,0.8599184150802929
GSM3305083,0.895688170600149,0.8953616458509707,0.946644380294665,0.9104736377777457,0.9409403732725843,0.9432801396526874,0.9147536576380386,0.8847460882594419,0.9367580808640632,0.9003664911061403,1.0,0.8555599778301947,0.9287153887476928,0.9049715745557257,0.9066317735249141,0.8795722902157995,0.9351297497277677,0.9472675425707662,0.9372446295581883,0.9477321739825589,0.931962279377231,0.8630391306280614,0.8936542367292858
